Date Time;Time inactive;Date Time;Time cooling;Date Time;Time heating;Date Time;Time hot water
9/9/2018, 12:00:00 PM;0;9/9/2018, 12:00:00 PM;24;9/9/2018, 12:00:00 PM;0;9/9/2018, 12:00:00 PM;0
9/10/2018, 12:00:00 PM;0;9/10/2018, 12:00:00 PM;21.74;9/10/2018, 12:00:00 PM;0;9/10/2018, 12:00:00 PM;2.22
9/11/2018, 12:00:00 PM;0;9/11/2018, 12:00:00 PM;21.92;9/11/2018, 12:00:00 PM;0;9/11/2018, 12:00:00 PM;2.04
9/12/2018, 12:00:00 PM;0;9/12/2018, 12:00:00 PM;23.18;9/12/2018, 12:00:00 PM;0;9/12/2018, 12:00:00 PM;0.8
9/13/2018, 12:00:00 PM;0;9/13/2018, 12:00:00 PM;20.26;9/13/2018, 12:00:00 PM;0;9/13/2018, 12:00:00 PM;3.66
9/14/2018, 12:00:00 PM;5.26;9/14/2018, 12:00:00 PM;17.12;9/14/2018, 12:00:00 PM;0;9/14/2018, 12:00:00 PM;1.54
9/15/2018, 12:00:00 PM;0;9/15/2018, 12:00:00 PM;21.6;9/15/2018, 12:00:00 PM;0;9/15/2018, 12:00:00 PM;2.36
9/16/2018, 12:00:00 PM;0;9/16/2018, 12:00:00 PM;21.8;9/16/2018, 12:00:00 PM;0;9/16/2018, 12:00:00 PM;2.16
9/17/2018, 12:00:00 PM;0;9/17/2018, 12:00:00 PM;22.44;9/17/2018, 12:00:00 PM;0;9/17/2018, 12:00:00 PM;1.52
9/18/2018, 12:00:00 PM;0;9/18/2018, 12:00:00 PM;22.34;9/18/2018, 12:00:00 PM;0;9/18/2018, 12:00:00 PM;1.62
9/19/2018, 12:00:00 PM;0;9/19/2018, 12:00:00 PM;22.48;9/19/2018, 12:00:00 PM;0;9/19/2018, 12:00:00 PM;1.48
9/20/2018, 12:00:00 PM;0;9/20/2018, 12:00:00 PM;22;9/20/2018, 12:00:00 PM;0;9/20/2018, 12:00:00 PM;1.96
9/21/2018, 12:00:00 PM;0;9/21/2018, 12:00:00 PM;22.44;9/21/2018, 12:00:00 PM;0;9/21/2018, 12:00:00 PM;1.52
9/22/2018, 12:00:00 PM;0;9/22/2018, 12:00:00 PM;22;9/22/2018, 12:00:00 PM;0;9/22/2018, 12:00:00 PM;1.96
9/23/2018, 12:00:00 PM;8.48;9/23/2018, 12:00:00 PM;10.58;9/23/2018, 12:00:00 PM;0.78;9/23/2018, 12:00:00 PM;4.04
9/24/2018, 12:00:00 PM;21.6;9/24/2018, 12:00:00 PM;0;9/24/2018, 12:00:00 PM;1.8;9/24/2018, 12:00:00 PM;0.52
9/25/2018, 12:00:00 PM;21.58;9/25/2018, 12:00:00 PM;0;9/25/2018, 12:00:00 PM;0;9/25/2018, 12:00:00 PM;2.38
9/26/2018, 12:00:00 PM;2.92;9/26/2018, 12:00:00 PM;0;9/26/2018, 12:00:00 PM;0;9/26/2018, 12:00:00 PM;1.04
9/27/2018, 12:00:00 PM;9.84;9/27/2018, 12:00:00 PM;10.12;9/27/2018, 12:00:00 PM;0;9/27/2018, 12:00:00 PM;0
9/28/2018, 12:00:00 PM;16.98;9/28/2018, 12:00:00 PM;5.74;9/28/2018, 12:00:00 PM;0;9/28/2018, 12:00:00 PM;1.2
9/29/2018, 12:00:00 PM;21.62;9/29/2018, 12:00:00 PM;0;9/29/2018, 12:00:00 PM;1.44;9/29/2018, 12:00:00 PM;0.86
9/30/2018, 12:00:00 PM;19.88;9/30/2018, 12:00:00 PM;0;9/30/2018, 12:00:00 PM;1.68;9/30/2018, 12:00:00 PM;2.36
10/1/2018, 12:00:00 PM;22.9;10/1/2018, 12:00:00 PM;0;10/1/2018, 12:00:00 PM;0;10/1/2018, 12:00:00 PM;1.06
10/2/2018, 12:00:00 PM;19.46;10/2/2018, 12:00:00 PM;0;10/2/2018, 12:00:00 PM;3.28;10/2/2018, 12:00:00 PM;1.12
10/3/2018, 12:00:00 PM;20.14;10/3/2018, 12:00:00 PM;0;10/3/2018, 12:00:00 PM;0.76;10/3/2018, 12:00:00 PM;3
10/4/2018, 12:00:00 PM;23.34;10/4/2018, 12:00:00 PM;0;10/4/2018, 12:00:00 PM;0;10/4/2018, 12:00:00 PM;2.6
10/5/2018, 12:00:00 PM;12.713;10/5/2018, 12:00:00 PM;9.084;10/5/2018, 12:00:00 PM;0;10/5/2018, 12:00:00 PM;0
10/6/2018, 12:00:00 PM;12.28;10/6/2018, 12:00:00 PM;10.26;10/6/2018, 12:00:00 PM;0;10/6/2018, 12:00:00 PM;1.4
10/7/2018, 12:00:00 PM;10;10/7/2018, 12:00:00 PM;12.62;10/7/2018, 12:00:00 PM;0;10/7/2018, 12:00:00 PM;1.28
10/8/2018, 12:00:00 PM;22.08;10/8/2018, 12:00:00 PM;0;10/8/2018, 12:00:00 PM;0;10/8/2018, 12:00:00 PM;1.88
10/9/2018, 12:00:00 PM;11.2;10/9/2018, 12:00:00 PM;9.02;10/9/2018, 12:00:00 PM;0;10/9/2018, 12:00:00 PM;1.72
10/10/2018, 12:00:00 PM;13.5;10/10/2018, 12:00:00 PM;9.06;10/10/2018, 12:00:00 PM;0;10/10/2018, 12:00:00 PM;1.38
10/11/2018, 12:00:00 PM;0;10/11/2018, 12:00:00 PM;19.64;10/11/2018, 12:00:00 PM;0;10/11/2018, 12:00:00 PM;2.32
10/12/2018, 12:00:00 PM;0;10/12/2018, 12:00:00 PM;22.68;10/12/2018, 12:00:00 PM;0;10/12/2018, 12:00:00 PM;1.28
10/13/2018, 12:00:00 PM;0;10/13/2018, 12:00:00 PM;24.56;10/13/2018, 12:00:00 PM;0;10/13/2018, 12:00:00 PM;3.38
10/14/2018, 12:00:00 PM;0;10/14/2018, 12:00:00 PM;22;10/14/2018, 12:00:00 PM;0;10/14/2018, 12:00:00 PM;0
10/15/2018, 12:00:00 PM;0;10/15/2018, 12:00:00 PM;23.92;10/15/2018, 12:00:00 PM;0;10/15/2018, 12:00:00 PM;2.02
10/16/2018, 12:00:00 PM;0;10/16/2018, 12:00:00 PM;20.92;10/16/2018, 12:00:00 PM;0;10/16/2018, 12:00:00 PM;1.06
10/17/2018, 12:00:00 PM;0;10/17/2018, 12:00:00 PM;23.98;10/17/2018, 12:00:00 PM;0;10/17/2018, 12:00:00 PM;1.96
10/18/2018, 12:00:00 PM;2;10/18/2018, 12:00:00 PM;15.68;10/18/2018, 12:00:00 PM;0;10/18/2018, 12:00:00 PM;4.28
10/19/2018, 12:00:00 PM;16.68;10/19/2018, 12:00:00 PM;4.78;10/19/2018, 12:00:00 PM;0;10/19/2018, 12:00:00 PM;2.46
