Date Time;Expansion valve;Date Time;Current consumption C1
9/20/2018, 2:00:00 AM;423;9/20/2018, 2:00:00 AM;4.2
9/20/2018, 4:00:00 AM;286;9/20/2018, 4:00:00 AM;5.7
9/21/2018, 2:00:00 AM;386;9/21/2018, 2:00:00 AM;4.6
9/21/2018, 4:00:00 AM;235;9/21/2018, 4:00:00 AM;6
9/22/2018, 2:00:00 AM;427;9/22/2018, 2:00:00 AM;4.2
9/22/2018, 4:00:00 AM;285;9/22/2018, 4:00:00 AM;5.6
9/23/2018, 2:00:00 AM;397;9/23/2018, 2:00:00 AM;4.3
9/23/2018, 4:00:00 AM;254;9/23/2018, 4:00:00 AM;5.8
9/23/2018, 6:00:00 PM;411;9/23/2018, 6:00:00 PM;3.9
9/23/2018, 8:00:00 PM;313;9/23/2018, 8:00:00 PM;5.1
9/23/2018, 10:00:00 PM;293;9/23/2018, 10:00:00 PM;3.7
9/24/2018, 2:00:00 AM;253;9/24/2018, 2:00:00 AM;5.2
9/24/2018, 4:00:00 AM;293;9/24/2018, 4:00:00 AM;3.9
9/24/2018, 6:00:00 AM;298;9/24/2018, 6:00:00 AM;3.5
9/24/2018, 8:00:00 AM;315;9/24/2018, 8:00:00 AM;3.9
9/25/2018, 2:00:00 AM;429;9/25/2018, 2:00:00 AM;3.9
9/25/2018, 4:00:00 AM;302;9/25/2018, 4:00:00 AM;5.4
9/26/2018, 2:00:00 AM;294;9/26/2018, 2:00:00 AM;5.4
9/26/2018, 4:00:00 AM;187;9/26/2018, 4:00:00 AM;6.5
9/28/2018, 2:00:00 AM;322;9/28/2018, 2:00:00 AM;5.1
9/28/2018, 4:00:00 AM;195;9/28/2018, 4:00:00 AM;6.2
9/29/2018, 2:00:00 AM;267;9/29/2018, 2:00:00 AM;5.6
9/29/2018, 6:00:00 AM;303;9/29/2018, 6:00:00 AM;4
9/29/2018, 4:00:00 PM;326;9/29/2018, 4:00:00 PM;4.2
9/29/2018, 6:00:00 PM;299;9/29/2018, 6:00:00 PM;4.2
9/30/2018, 2:00:00 AM;410;9/30/2018, 2:00:00 AM;3.9
9/30/2018, 4:00:00 AM;288;9/30/2018, 4:00:00 AM;5
9/30/2018, 6:00:00 AM;286;9/30/2018, 6:00:00 AM;3.9
9/30/2018, 8:00:00 AM;299;9/30/2018, 8:00:00 AM;3.9
10/1/2018, 2:00:00 AM;278;10/1/2018, 2:00:00 AM;5.3
10/1/2018, 4:00:00 AM;191;10/1/2018, 4:00:00 AM;6.4
10/2/2018, 2:00:00 AM;304;10/2/2018, 2:00:00 AM;5.2
10/2/2018, 4:00:00 AM;187;10/2/2018, 4:00:00 AM;6.3
10/2/2018, 6:00:00 AM;308;10/2/2018, 6:00:00 AM;3.8
