Date Time;Total generated energy by the installation after completion;Date Time;Total consumed energy by the installation after completion
7/20/2019, 2:00:00 AM;6,618;7/20/2019, 2:00:00 AM;2,793
7/21/2019, 2:00:00 AM;6,637;7/21/2019, 2:00:00 AM;2,794
7/22/2019, 2:00:00 AM;6,659;7/22/2019, 2:00:00 AM;2,796
7/23/2019, 2:00:00 AM;6,680;7/23/2019, 2:00:00 AM;2,798
7/24/2019, 2:00:00 AM;6,695;7/24/2019, 2:00:00 AM;2,799
7/25/2019, 2:00:00 AM;6,720;7/25/2019, 2:00:00 AM;2,802
7/26/2019, 2:00:00 AM;6,739;7/26/2019, 2:00:00 AM;2,804
7/27/2019, 2:00:00 AM;6,756;7/27/2019, 2:00:00 AM;2,806
7/28/2019, 2:00:00 AM;6,764;7/28/2019, 2:00:00 AM;2,808
7/29/2019, 2:00:00 AM;6,784;7/29/2019, 2:00:00 AM;2,809
7/30/2019, 2:00:00 AM;6,803;7/30/2019, 2:00:00 AM;2,811
7/31/2019, 2:00:00 AM;6,813;7/31/2019, 2:00:00 AM;2,811
