Date Time;T CH WPU in;Date Time;T CH WPU out;Date Time;T source WPU in;Date Time;T source WPU out
8/4/2018, 6:00:00 AM;20.4;8/4/2018, 6:00:00 AM;17;8/29/2018, 2:00:00 AM;11.6;8/29/2018, 2:00:00 AM;10
8/4/2018, 8:00:00 AM;20.4;8/4/2018, 8:00:00 AM;16.9;8/30/2018, 1:59:00 AM;11;8/30/2018, 1:59:00 AM;8.9
8/4/2018, 10:00:00 AM;20.4;8/4/2018, 10:00:00 AM;16.9;8/30/2018, 4:00:00 AM;10.3;8/30/2018, 4:00:00 AM;8.6
8/4/2018, 12:00:00 PM;20.4;8/4/2018, 12:00:00 PM;16.9;8/31/2018, 2:00:00 AM;10.9;8/31/2018, 2:00:00 AM;9
8/4/2018, 2:00:00 PM;20.4;8/4/2018, 2:00:00 PM;17;8/31/2018, 4:00:00 AM;10.3;8/31/2018, 4:00:00 AM;8.6
8/4/2018, 4:00:00 PM;20.5;8/4/2018, 4:00:00 PM;17;9/1/2018, 2:00:00 AM;10.8;9/1/2018, 2:00:00 AM;9
8/4/2018, 6:00:00 PM;20.5;8/4/2018, 6:00:00 PM;16.9;9/1/2018, 4:00:00 AM;10.4;9/1/2018, 4:00:00 AM;8.7
8/4/2018, 8:00:00 PM;20.4;8/4/2018, 8:00:00 PM;16.9;9/2/2018, 2:00:00 AM;10.9;9/2/2018, 2:00:00 AM;9
8/4/2018, 10:00:00 PM;20.5;8/4/2018, 10:00:00 PM;17;9/2/2018, 4:00:00 AM;10.4;9/2/2018, 4:00:00 AM;8.8
8/5/2018, 12:00:00 AM;20.5;8/5/2018, 12:00:00 AM;17;9/3/2018, 2:00:00 AM;11;9/3/2018, 2:00:00 AM;9
8/5/2018, 2:00:00 AM;20.6;8/5/2018, 2:00:00 AM;16.9;9/3/2018, 4:00:00 AM;10.3;9/3/2018, 4:00:00 AM;8.6
8/5/2018, 4:00:00 AM;20.5;8/5/2018, 4:00:00 AM;17.3;9/4/2018, 2:00:00 AM;11.4;9/4/2018, 2:00:00 AM;9.7
8/5/2018, 6:00:00 AM;20.5;8/5/2018, 6:00:00 AM;17.1;9/4/2018, 4:00:00 AM;10.9;9/4/2018, 4:00:00 AM;9.6
8/5/2018, 8:00:00 AM;20.4;8/5/2018, 8:00:00 AM;16.9;9/5/2018, 2:00:00 AM;11.3;9/5/2018, 2:00:00 AM;9.3
8/5/2018, 10:00:00 AM;20.4;8/5/2018, 10:00:00 AM;16.8;9/5/2018, 4:00:00 AM;10.5;9/5/2018, 4:00:00 AM;8.8
8/5/2018, 12:00:00 PM;20.5;8/5/2018, 12:00:00 PM;16.9;9/6/2018, 2:00:00 AM;11.5;9/6/2018, 2:00:00 AM;9.9
8/5/2018, 2:00:00 PM;20.4;8/5/2018, 2:00:00 PM;17;9/7/2018, 12:00:00 AM;10.7;9/7/2018, 12:00:00 AM;8.7
8/5/2018, 4:00:00 PM;20.4;8/5/2018, 4:00:00 PM;17;9/7/2018, 2:00:00 AM;10.3;9/7/2018, 2:00:00 AM;8.7
8/5/2018, 6:00:00 PM;20.4;8/5/2018, 6:00:00 PM;17;9/8/2018, 2:00:00 AM;11.3;9/8/2018, 2:00:00 AM;9.7
8/5/2018, 8:00:00 PM;20.4;8/5/2018, 8:00:00 PM;17;9/8/2018, 6:00:00 PM;10.8;9/8/2018, 6:00:00 PM;8.8
8/5/2018, 10:00:00 PM;20.4;8/5/2018, 10:00:00 PM;17;9/8/2018, 8:00:00 PM;10.2;9/8/2018, 8:00:00 PM;8.5
8/6/2018, 12:00:00 AM;20.4;8/6/2018, 12:00:00 AM;16.9;9/10/2018, 2:00:00 AM;10.9;9/10/2018, 2:00:00 AM;8.9
8/6/2018, 2:00:00 AM;20.4;8/6/2018, 2:00:00 AM;16.8;9/10/2018, 4:01:00 AM;10.1;9/10/2018, 4:01:00 AM;8.4
8/6/2018, 4:00:00 AM;20.4;8/6/2018, 4:00:00 AM;16.9;9/11/2018, 2:00:00 AM;10.9;9/11/2018, 2:00:00 AM;8.9
8/6/2018, 6:00:00 AM;20.3;8/6/2018, 6:00:00 AM;16.9;9/11/2018, 4:00:00 AM;10.2;9/11/2018, 4:00:00 AM;8.5
8/6/2018, 8:00:00 AM;20.2;8/6/2018, 8:00:00 AM;16.8;9/12/2018, 2:00:00 AM;11.4;9/12/2018, 2:00:00 AM;9.8
8/6/2018, 10:00:00 AM;20.3;8/6/2018, 10:00:00 AM;16.8;9/13/2018, 2:00:00 AM;10.9;9/13/2018, 2:00:00 AM;8.9
8/6/2018, 12:00:00 PM;20.3;8/6/2018, 12:00:00 PM;16.9;9/13/2018, 4:00:00 AM;10.3;9/13/2018, 4:00:00 AM;8.6
8/6/2018, 2:00:00 PM;20.4;8/6/2018, 2:00:00 PM;16.9;9/13/2018, 12:00:00 PM;10.6;9/13/2018, 12:00:00 PM;8.7
8/6/2018, 4:00:00 PM;20.4;8/6/2018, 4:00:00 PM;16.7;9/13/2018, 2:00:00 PM;10.2;9/13/2018, 2:00:00 PM;8.7
8/6/2018, 6:00:00 PM;20.6;8/6/2018, 6:00:00 PM;16.9;9/14/2018, 2:00:00 AM;10.8;9/14/2018, 2:00:00 AM;8.9
8/6/2018, 8:00:00 PM;20.8;8/6/2018, 8:00:00 PM;17;9/14/2018, 4:00:00 AM;10.4;9/14/2018, 4:00:00 AM;8.7
8/6/2018, 10:00:00 PM;20.5;8/6/2018, 10:00:00 PM;17;9/15/2018, 2:00:00 AM;10.7;9/15/2018, 2:00:00 AM;8.6
8/7/2018, 12:00:00 AM;20.4;8/7/2018, 12:00:00 AM;17;9/15/2018, 4:00:00 AM;9.9;9/15/2018, 4:00:00 AM;8.2
8/7/2018, 2:00:00 AM;20.7;8/7/2018, 2:00:00 AM;16.9;9/16/2018, 2:00:00 AM;10.8;9/16/2018, 2:00:00 AM;8.7
8/7/2018, 4:00:00 AM;20.6;8/7/2018, 4:00:00 AM;17.2;9/16/2018, 4:00:00 AM;10;9/16/2018, 4:00:00 AM;8.3
8/7/2018, 6:00:00 AM;20.5;8/7/2018, 6:00:00 AM;17;9/17/2018, 2:00:00 AM;11;9/17/2018, 2:00:00 AM;9.1
8/7/2018, 8:00:00 AM;20.5;8/7/2018, 8:00:00 AM;16.9;9/17/2018, 4:00:00 AM;10.5;9/17/2018, 4:00:00 AM;8.9
8/7/2018, 10:00:00 AM;20.4;8/7/2018, 10:00:00 AM;17;9/18/2018, 2:00:00 AM;11;9/18/2018, 2:00:00 AM;9.1
8/7/2018, 12:00:00 PM;20.4;8/7/2018, 12:00:00 PM;16.9;9/18/2018, 4:00:00 AM;10.4;9/18/2018, 4:00:00 AM;8.8
8/7/2018, 2:00:00 PM;20.4;8/7/2018, 2:00:00 PM;17;9/19/2018, 2:00:00 AM;11.3;9/19/2018, 2:00:00 AM;9.4
8/7/2018, 4:00:00 PM;20.4;8/7/2018, 4:00:00 PM;17;9/19/2018, 4:00:00 AM;10.7;9/19/2018, 4:00:00 AM;9.1
8/7/2018, 6:00:00 PM;20.5;8/7/2018, 6:00:00 PM;16.9;9/20/2018, 2:00:00 AM;11.2;9/20/2018, 2:00:00 AM;9.2
8/7/2018, 8:00:00 PM;20.5;8/7/2018, 8:00:00 PM;17;9/20/2018, 4:00:00 AM;10.5;9/20/2018, 4:00:00 AM;8.8
8/7/2018, 10:00:00 PM;20.4;8/7/2018, 10:00:00 PM;16.9;9/21/2018, 2:00:00 AM;11.3;9/21/2018, 2:00:00 AM;9.4
8/8/2018, 12:00:00 AM;20.5;8/8/2018, 12:00:00 AM;17;9/21/2018, 4:00:00 AM;10.8;9/21/2018, 4:00:00 AM;9.1
8/8/2018, 2:00:00 AM;20.5;8/8/2018, 2:00:00 AM;17;9/22/2018, 2:00:00 AM;11;9/22/2018, 2:00:00 AM;8.9
8/8/2018, 4:00:00 AM;20.4;8/8/2018, 4:00:00 AM;17;9/22/2018, 4:00:00 AM;10.3;9/22/2018, 4:00:00 AM;8.6
8/8/2018, 6:00:00 AM;20.4;8/8/2018, 6:00:00 AM;16.9;9/23/2018, 2:00:00 AM;10.8;9/23/2018, 2:00:00 AM;8.9
8/8/2018, 8:00:00 AM;20.4;8/8/2018, 8:00:00 AM;17;9/23/2018, 4:00:00 AM;10.2;9/23/2018, 4:00:00 AM;8.6
8/8/2018, 9:59:00 AM;20.4;8/8/2018, 9:59:00 AM;16.8;9/23/2018, 6:00:00 PM;11;9/23/2018, 6:00:00 PM;8.8
8/8/2018, 12:00:00 PM;20.4;8/8/2018, 12:00:00 PM;16.9;9/23/2018, 8:00:00 PM;10.1;9/23/2018, 8:00:00 PM;8.2
8/8/2018, 2:02:00 PM;20.4;8/8/2018, 2:02:00 PM;16.9;9/23/2018, 10:00:00 PM;9.9;9/23/2018, 10:00:00 PM;7.5
8/8/2018, 4:00:00 PM;20.4;8/8/2018, 4:00:00 PM;17;9/24/2018, 2:00:00 AM;11.1;9/24/2018, 2:00:00 AM;9.5
8/8/2018, 5:58:00 PM;20.4;8/8/2018, 5:58:00 PM;17;9/24/2018, 4:00:00 AM;10.2;9/24/2018, 4:00:00 AM;7.8
8/8/2018, 8:02:00 PM;20.4;8/8/2018, 8:02:00 PM;17;9/24/2018, 6:00:00 AM;12.1;9/24/2018, 6:00:00 AM;12.2
8/8/2018, 10:00:00 PM;20.4;8/8/2018, 10:00:00 PM;17;9/24/2018, 8:00:00 AM;10.5;9/24/2018, 8:00:00 AM;8.1
8/8/2018, 11:58:00 PM;20.4;8/8/2018, 11:58:00 PM;16.9;9/25/2018, 2:00:00 AM;10.6;9/25/2018, 2:00:00 AM;8.4
8/9/2018, 2:00:00 AM;20.7;8/9/2018, 2:00:00 AM;16.8;9/25/2018, 4:00:00 AM;9.8;9/25/2018, 4:00:00 AM;8
8/9/2018, 4:02:00 AM;20.6;8/9/2018, 4:02:00 AM;17.2;9/26/2018, 2:00:00 AM;11;9/26/2018, 2:00:00 AM;9.2
8/9/2018, 6:00:00 AM;20.4;8/9/2018, 6:00:00 AM;17;9/26/2018, 4:00:00 AM;10.5;9/26/2018, 4:00:00 AM;9.2
8/9/2018, 8:00:00 AM;20.3;8/9/2018, 8:00:00 AM;16.9;9/28/2018, 2:00:00 AM;10.9;9/28/2018, 2:00:00 AM;9.1
8/9/2018, 10:00:00 AM;20.2;8/9/2018, 10:00:00 AM;16.8;9/28/2018, 4:00:00 AM;10.5;9/28/2018, 4:00:00 AM;9
8/9/2018, 12:00:00 PM;20.2;8/9/2018, 12:00:00 PM;16.8;9/29/2018, 2:00:00 AM;11;9/29/2018, 2:00:00 AM;9.4
8/9/2018, 2:00:00 PM;20.3;8/9/2018, 2:00:00 PM;16.8;9/29/2018, 6:00:00 AM;10.8;9/29/2018, 6:00:00 AM;8.5
8/9/2018, 4:00:00 PM;20.2;8/9/2018, 4:00:00 PM;16.8;9/29/2018, 4:00:00 PM;10.9;9/29/2018, 4:00:00 PM;8.7
8/9/2018, 6:00:00 PM;20.2;8/9/2018, 6:00:00 PM;16.8;9/29/2018, 6:00:00 PM;10;9/29/2018, 6:00:00 PM;8
8/9/2018, 8:00:00 PM;20.2;8/9/2018, 8:00:00 PM;16.8;9/30/2018, 2:00:00 AM;10.5;9/30/2018, 2:00:00 AM;8.4
8/9/2018, 10:00:00 PM;20.2;8/9/2018, 10:00:00 PM;16.8;9/30/2018, 4:00:00 AM;9.9;9/30/2018, 4:00:00 AM;8
8/10/2018, 12:00:00 AM;20.1;8/10/2018, 12:00:00 AM;16.8;9/30/2018, 6:00:00 AM;9.3;9/30/2018, 6:00:00 AM;7
8/10/2018, 2:00:00 AM;20.1;8/10/2018, 2:00:00 AM;16.8;9/30/2018, 8:00:00 AM;10.2;9/30/2018, 8:00:00 AM;8
8/10/2018, 4:00:00 AM;20.2;8/10/2018, 4:00:00 AM;16.7;10/1/2018, 2:00:00 AM;10.8;10/1/2018, 2:00:00 AM;9
8/10/2018, 6:00:00 AM;20.3;8/10/2018, 6:00:00 AM;16.6;10/1/2018, 4:00:00 AM;10.4;10/1/2018, 4:00:00 AM;9
8/10/2018, 8:00:00 AM;20.2;8/10/2018, 8:00:00 AM;16.6;10/2/2018, 2:00:00 AM;10.8;10/2/2018, 2:00:00 AM;9.1
8/10/2018, 10:00:00 AM;20.2;8/10/2018, 10:00:00 AM;16.6;10/2/2018, 4:00:00 AM;10.4;10/2/2018, 4:00:00 AM;9
8/10/2018, 12:00:00 PM;20.2;8/10/2018, 12:00:00 PM;16.7;10/2/2018, 6:00:00 AM;10.7;10/2/2018, 6:00:00 AM;8.4
8/10/2018, 2:00:00 PM;20.2;8/10/2018, 2:00:00 PM;16.7;10/2/2018, 10:00:00 AM;10.2;10/2/2018, 10:00:00 AM;8
8/10/2018, 4:00:00 PM;20.1;8/10/2018, 4:00:00 PM;16.7;10/2/2018, 12:00:00 PM;11;10/2/2018, 12:00:00 PM;8.9
8/10/2018, 6:00:00 PM;20.2;8/10/2018, 6:00:00 PM;16.7;10/2/2018, 2:00:00 PM;10.2;10/2/2018, 2:00:00 PM;8
8/10/2018, 8:00:00 PM;20.1;8/10/2018, 8:00:00 PM;16.7;10/2/2018, 4:00:00 PM;9.4;10/2/2018, 4:00:00 PM;7.3
8/10/2018, 10:00:00 PM;20.2;8/10/2018, 10:00:00 PM;16.7;10/3/2018, 2:00:00 AM;10.6;10/3/2018, 2:00:00 AM;8.8
8/11/2018, 12:00:00 AM;20.1;8/11/2018, 12:00:00 AM;16.6;10/3/2018, 4:00:00 AM;10.1;10/3/2018, 4:00:00 AM;8.6
8/11/2018, 2:00:00 AM;20.2;8/11/2018, 2:00:00 AM;16.7;10/3/2018, 10:00:00 AM;10.7;10/3/2018, 10:00:00 AM;8.5
