Date Time;T compressed gas C1;Date Time;TcC1 CH (out);Date Time;TcC1 DHW (out);Date Time;TeC1 CH (in);Date Time;TeC1 DHW (in);Date Time;TcC1 (out);Date Time;TeC1 (in)
8/24/2018, 2:00:00 AM;50.1;10/28/2018, 12:00:00 PM;27.2;8/24/2018, 2:00:00 AM;37.4;10/28/2018, 12:00:00 PM;4.8;8/24/2018, 2:00:00 AM;6.1;;;;
8/24/2018, 4:00:00 AM;74.1;10/28/2018, 10:00:00 PM;26.6;8/24/2018, 4:00:00 AM;53.8;10/28/2018, 10:00:00 PM;4.5;8/24/2018, 4:00:00 AM;6.9;;;;
8/25/2018, 2:00:00 AM;54.2;10/29/2018, 12:00:00 AM;24;8/25/2018, 2:00:00 AM;40.9;10/29/2018, 12:00:00 AM;4.9;8/25/2018, 2:00:00 AM;6.2;;;;
8/25/2018, 4:00:00 AM;77.4;10/29/2018, 2:00:00 AM;25;8/25/2018, 4:00:00 AM;55.9;10/29/2018, 2:00:00 AM;5.9;8/25/2018, 4:00:00 AM;6.9;;;;
8/26/2018, 2:00:00 AM;60.2;10/29/2018, 4:00:00 AM;27.9;8/26/2018, 2:00:00 AM;46.1;10/29/2018, 4:00:00 AM;3.9;8/26/2018, 2:00:00 AM;6.5;;;;
8/26/2018, 4:00:00 AM;81.4;10/29/2018, 6:00:00 AM;27.4;8/26/2018, 4:00:00 AM;58.4;10/29/2018, 6:00:00 AM;4.2;8/26/2018, 4:00:00 AM;6.9;;;;
8/27/2018, 2:00:00 AM;55.1;10/29/2018, 8:00:00 AM;28.6;8/27/2018, 2:00:00 AM;41.7;10/29/2018, 8:00:00 AM;3.7;8/27/2018, 2:00:00 AM;6.1;;;;
8/27/2018, 4:01:00 AM;78.5;10/29/2018, 10:00:00 AM;27.8;8/27/2018, 4:01:00 AM;56.5;10/29/2018, 10:00:00 AM;4.2;8/27/2018, 4:01:00 AM;6.6;;;;
8/28/2018, 2:00:00 AM;57;10/29/2018, 12:00:00 PM;27;8/28/2018, 2:00:00 AM;43.4;10/29/2018, 12:00:00 PM;4.4;8/28/2018, 2:00:00 AM;6.2;;;;
8/28/2018, 4:00:00 AM;79.6;10/29/2018, 2:00:00 PM;28.4;8/28/2018, 4:00:00 AM;57.2;10/29/2018, 2:00:00 PM;4;8/28/2018, 4:00:00 AM;6.7;;;;
8/29/2018, 2:00:00 AM;68.8;10/29/2018, 4:00:00 PM;27.3;8/29/2018, 2:00:00 AM;53.9;10/29/2018, 4:00:00 PM;4.2;8/29/2018, 2:00:00 AM;7.5;;;;
8/30/2018, 1:59:00 AM;49.3;10/29/2018, 10:00:00 PM;25.3;8/30/2018, 1:59:00 AM;36.4;10/29/2018, 10:00:00 PM;5.1;8/30/2018, 1:59:00 AM;5.6;;;;
8/30/2018, 4:00:00 AM;73.7;10/30/2018, 12:00:00 AM;27.2;8/30/2018, 4:00:00 AM;53.2;10/30/2018, 12:00:00 AM;4.2;8/30/2018, 4:00:00 AM;6.4;;;;
8/31/2018, 2:00:00 AM;51.3;10/30/2018, 2:00:00 AM;27.2;8/31/2018, 2:00:00 AM;38.2;10/30/2018, 2:00:00 AM;4;8/31/2018, 2:00:00 AM;5.7;;;;
8/31/2018, 4:00:00 AM;75.5;10/30/2018, 4:00:00 AM;29.1;8/31/2018, 4:00:00 AM;54.5;10/30/2018, 4:00:00 AM;3.7;8/31/2018, 4:00:00 AM;6.4;;;;
9/1/2018, 2:00:00 AM;54.6;10/30/2018, 6:00:00 AM;28.2;9/1/2018, 2:00:00 AM;41.3;10/30/2018, 6:00:00 AM;4.4;9/1/2018, 2:00:00 AM;5.9;;;;
9/1/2018, 4:00:00 AM;78.3;10/30/2018, 8:00:00 AM;27.2;9/1/2018, 4:00:00 AM;56.2;10/30/2018, 8:00:00 AM;4.6;9/1/2018, 4:00:00 AM;6.5;;;;
9/2/2018, 2:00:00 AM;54.9;10/30/2018, 10:00:00 AM;28.4;9/2/2018, 2:00:00 AM;41.3;10/30/2018, 10:00:00 AM;3.9;9/2/2018, 2:00:00 AM;5.9;;;;
9/2/2018, 4:00:00 AM;78.4;10/30/2018, 12:00:00 PM;27.8;9/2/2018, 4:00:00 AM;56.2;10/30/2018, 12:00:00 PM;3.8;9/2/2018, 4:00:00 AM;6.5;;;;
9/3/2018, 2:00:00 AM;50.8;10/30/2018, 6:00:00 PM;27;9/3/2018, 2:00:00 AM;37.6;10/30/2018, 6:00:00 PM;4.7;9/3/2018, 2:00:00 AM;5.8;;;;
9/3/2018, 4:00:00 AM;75;10/30/2018, 8:00:00 PM;27.5;9/3/2018, 4:00:00 AM;54.1;10/30/2018, 8:00:00 PM;3.9;9/3/2018, 4:00:00 AM;6.4;;;;
9/4/2018, 2:00:00 AM;65.9;10/30/2018, 10:00:00 PM;26.8;9/4/2018, 2:00:00 AM;50.8;10/30/2018, 10:00:00 PM;4.2;9/4/2018, 2:00:00 AM;7;;;;
9/4/2018, 4:00:00 AM;85.4;10/31/2018, 12:00:00 AM;26.4;9/4/2018, 4:00:00 AM;60.1;10/31/2018, 12:00:00 AM;4.4;9/4/2018, 4:00:00 AM;6.9;;;;
9/5/2018, 2:00:00 AM;49.9;10/31/2018, 2:00:00 AM;27.2;9/5/2018, 2:00:00 AM;37;10/31/2018, 2:00:00 AM;3.8;9/5/2018, 2:00:00 AM;5.9;;;;
9/5/2018, 4:00:00 AM;74.1;10/31/2018, 4:00:00 AM;29.4;9/5/2018, 4:00:00 AM;53.8;10/31/2018, 4:00:00 AM;3.6;9/5/2018, 4:00:00 AM;6.7;;;;
9/6/2018, 2:00:00 AM;68.2;10/31/2018, 6:00:00 AM;28.3;9/6/2018, 2:00:00 AM;52.7;10/31/2018, 6:00:00 AM;4.4;9/6/2018, 2:00:00 AM;7.3;;;;
9/7/2018, 12:00:00 AM;55.5;10/31/2018, 8:00:00 AM;24.4;9/7/2018, 12:00:00 AM;40.2;10/31/2018, 8:00:00 AM;4.9;9/7/2018, 12:00:00 AM;5.9;;;;
9/7/2018, 2:00:00 AM;80.5;10/31/2018, 10:00:00 AM;27.3;9/7/2018, 2:00:00 AM;57.2;10/31/2018, 10:00:00 AM;4;9/7/2018, 2:00:00 AM;6.4;;;;
9/8/2018, 2:00:00 AM;68.5;11/1/2018, 4:00:00 AM;26.7;9/8/2018, 2:00:00 AM;53.2;11/1/2018, 4:00:00 AM;4.9;9/8/2018, 2:00:00 AM;7.1;;;;
9/8/2018, 6:00:00 PM;55.7;11/1/2018, 10:00:00 AM;27.6;9/8/2018, 6:00:00 PM;41.1;11/1/2018, 10:00:00 AM;4.9;9/8/2018, 6:00:00 PM;5.9;;;;
9/8/2018, 8:00:00 PM;79.3;11/2/2018, 12:00:00 AM;24.7;9/8/2018, 8:00:00 PM;55.1;11/2/2018, 12:00:00 AM;5;9/8/2018, 8:00:00 PM;6;;;;
9/10/2018, 2:00:00 AM;47.5;11/2/2018, 2:00:00 AM;27.5;9/10/2018, 2:00:00 AM;34.6;11/2/2018, 2:00:00 AM;5.1;9/10/2018, 2:00:00 AM;5.5;;;;
9/10/2018, 4:01:00 AM;72.3;11/2/2018, 4:00:00 AM;27.2;9/10/2018, 4:01:00 AM;52.1;11/2/2018, 4:00:00 AM;4;9/10/2018, 4:01:00 AM;6.2;;;;
9/11/2018, 2:00:00 AM;49.6;11/2/2018, 10:00:00 AM;27.6;9/11/2018, 2:00:00 AM;36.5;11/2/2018, 10:00:00 AM;4.6;9/11/2018, 2:00:00 AM;5.6;;;;
